L3CACHE,ENERGY,FLOPS_DP
0.0377,1.7714,4653.8955
0.0377,1.7737,4661.9072
0.0378,1.7807,4682.5138
0.0379,1.7877,4655.8249
0.0376,1.7838,4684.9369
0.0372,1.7770,4661.5453
0.0368,1.8046,4693.8484
0.0389,1.7628,4660.9543
0.0365,1.7328,4687.7250
0.0380,1.7715,4644.0606
0.0368,1.7770,4629.2888
0.0367,1.7776,4658.7657
0.0382,1.7747,4662.9380
0.0376,1.7565,4662.9348
0.0384,1.7907,4656.0763
0.0387,1.7914,4654.8294
