L3CACHE,ENERGY,FLOPS_DP
0.3139,0,2617.2327
0.3411,0,3087.8928
0.2695,0,3383.6993
0.3285,0,3413.3184
0.3309,0,3632.0164
0.3617,0.0091,3265.9564
0.2847,0,3599.7894
0.3241,0.0103,3716.1379
0.2721,0.0099,3542.2467
0.2897,0.0096,3740.7187
0.2476,0.0272,3722.7149
0.1613,0.0284,3666.3019
0.2273,0.0384,3718.7724
0.0856,0.0444,3757.1983
0.0175,0.2334,3733.0173
0.0108,0.4728,3746.8217
