L3CACHE,ENERGY,FLOPS_DP
0.0530,0.0481,2423.3200
0.0583,0.0760,2798.8930
0.0664,0.1129,2985.4084
0.0808,0.1436,3078.8521
0.0841,0.2742,3199.6183
0.0936,0.3070,3232.1810
0.1178,0.4005,3274.9836
0.1611,0.5062,3281.6333
0.1962,0.9666,3339.7864
0.1087,1.4675,3350.8004
0.0223,2.0333,3366.3529
0.0164,2.8856,3376.7044
0.0142,3.3931,3379.2179
0.0077,4.8128,3380.3309
0.0005,24.4357,3389.0864
0.0003,48.9020,3384.6423
