L3CACHE,ENERGY,FLOPS_DP
0.3088,0,3230.4995
0.3429,0,866.9638
0.3000,0,3405.0769
0.3022,0.0103,3417.7672
0.3597,0.0103,3558.6007
0.3081,0.0181,871.5641
0.2136,0.0178,3657.1002
0.2500,0.0222,894.2896
0.2967,0.0323,3474.8158
0.2615,0.0715,1321.1321
0.1758,0.0911,3697.8498
0.1882,0.1262,3443.3404
0.1598,0.1446,3359.8274
0.0739,0.2293,3452.8133
0.0037,1.1849,3287.6840
0.0014,2.1854,3459.6753
