L3CACHE,ENERGY,FLOPS_DP
0.1736,1.5948,6170.8231
0.1839,1.6146,6189.3393
0.1813,1.6110,6057.3870
0.1675,1.6339,6203.3412
0.1718,1.6430,6128.3883
0.1749,1.6546,6193.7381
0.1758,1.6172,6144.4525
0.1623,1.5921,6258.1933
0.1648,1.6084,6223.7232
0.1767,1.5974,6226.8112
0.1764,1.6138,6176.7722
0.1762,1.6044,6414.8645
0.1661,1.6514,6360.8344
0.1846,1.5986,6065.1715
0.1375,1.6027,6405.6918
0.1315,1.5912,6484.2808
