L3CACHE,ENERGY,FLOPS_DP
0.0278,0,820.6654
0.0488,0,889.5841
0.0308,0,784.5331
0.0308,0,828.3559
0.0351,0,817.4554
0.0769,0,772.6683
0.0333,0,836.7978
0.0299,0,819.4944
0.0317,0,858.9977
0.0345,0,851.6124
0.0328,0,871.7055
0.0282,0,668.4174
0.0333,0,883.7696
0.0484,0,862.5386
0.0455,0,819.7882
0.0556,0,782.9295
