L3CACHE,ENERGY,FLOPS_DP
0.0299,0,839.8639
0.0317,0,189.0390
0.0333,0,785.7202
0.0351,0,784.0426
0.0370,0,816.2439
0.0417,0,284.3944
0.0278,0,895.3904
0.0580,0.0118,292.1680
0.0290,0,827.3237
0.0377,0,477.3843
0.0299,0,866.5364
0.0519,0,768.2301
0.0345,0,762.1415
0.0308,0,853.5892
0.0317,0,857.1910
0.0244,0,874.4072
