STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407975635 GHz,
TABLE,Region montaSl,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],0.157929,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,1296805000
CPU_CLK_UNHALTED_CORE,FIXC1,591098300
CPU_CLK_UNHALTED_REF,FIXC2,531424600
MEM_LOAD_RETIRED_L3_HIT,PMC0,1493
MEM_LOAD_RETIRED_L3_MISS,PMC1,182
UOPS_RETIRED_ALL,PMC2,1535436000
TABLE,Region montaSl,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.1579,
Runtime unhalted [s],0.1734,
Clock [MHz],3790.6574,
CPI,0.4558,
L3 request rate,1.090895e-06,
L3 miss rate,1.185331e-07,
L3 miss ratio,0.1087,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407975635 GHz,
TABLE,Region resolveSistema,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],0.144373,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,1241149000
CPU_CLK_UNHALTED_CORE,FIXC1,542690800
CPU_CLK_UNHALTED_REF,FIXC2,487928800
MEM_LOAD_RETIRED_L3_HIT,PMC0,1742523
MEM_LOAD_RETIRED_L3_MISS,PMC1,68925
UOPS_RETIRED_ALL,PMC2,1853694000
TABLE,Region resolveSistema,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.1444,
Runtime unhalted [s],0.1592,
Clock [MHz],3790.4650,
CPI,0.4372,
L3 request rate,0.0010,
L3 miss rate,3.718251e-05,
L3 miss ratio,0.0380,
