64,1.7156900093e-01,1.3180002570e-03
64,1.1015727480e+03,1.0782522800e+02
128,3.4764700010e-01,1.1349990964e-03
128,2.1828962060e+03,1.0654349500e+02
200,4.4743000343e-01,1.1410005391e-03
200,3.3937602060e+03,1.0947733100e+02
256,5.6910999864e-01,1.1199973524e-03
256,4.3362262500e+03,1.0807336200e+02
512,1.1825740002e+00,1.6819983721e-03
512,8.6505775180e+03,1.0750494900e+02
600,1.3592960015e+00,1.7479993403e-03
600,1.0121472581e+04,1.0718049500e+02
800,1.7611839995e+00,1.7650015652e-03
800,1.3473966669e+04,1.0872067200e+02
1024,2.2794019990e+00,1.7560012639e-03
1024,1.7240450285e+04,1.0933540400e+02
2000,4.4244860001e+00,1.7869994044e-03
2000,3.3651351719e+04,1.0310621400e+02
3000,6.6285629980e+00,1.7489977181e-03
3000,5.0610183007e+04,1.0871941100e+02
4096,9.0288890004e+00,1.6849972308e-03
4096,6.9180187685e+04,1.0442895000e+02
6000,1.3354520001e+01,1.7499998212e-03
6000,1.0136195123e+05,1.0839700700e+02
7000,1.5408973999e+01,1.7039999366e-03
7000,1.1825840286e+05,1.0334303100e+02
10000,2.2051500000e+01,1.6929991543e-03
10000,1.6884618018e+05,1.0909142600e+02
50000,1.0876441600e+02,1.6830004752e-03
50000,8.4480937238e+05,1.0144375900e+02
100000,2.1647931100e+02,1.6859993339e-03
100000,1.6893581967e+06,1.0308898100e+02
