STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407987208 GHz,
TABLE,Region montaSl,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],0.008023,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,57812270
CPU_CLK_UNHALTED_CORE,FIXC1,27085500
CPU_CLK_UNHALTED_REF,FIXC2,24349310
MEM_LOAD_RETIRED_L3_HIT,PMC0,2456
MEM_LOAD_RETIRED_L3_MISS,PMC1,152
UOPS_RETIRED_ALL,PMC2,68718720
TABLE,Region montaSl,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0080,
Runtime unhalted [s],0.0079,
Clock [MHz],3790.9509,
CPI,0.4685,
L3 request rate,3.795181e-05,
L3 miss rate,2.211915e-06,
L3 miss ratio,0.0583,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407987208 GHz,
TABLE,Region resolveSistema,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],0.144584,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,1241148000
CPU_CLK_UNHALTED_CORE,FIXC1,543019000
CPU_CLK_UNHALTED_REF,FIXC2,488244800
MEM_LOAD_RETIRED_L3_HIT,PMC0,1761851
MEM_LOAD_RETIRED_L3_MISS,PMC1,69077
UOPS_RETIRED_ALL,PMC2,1853692000
TABLE,Region resolveSistema,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.1446,
Runtime unhalted [s],0.1593,
Clock [MHz],3790.3154,
CPI,0.4375,
L3 request rate,0.0010,
L3 miss rate,3.726455e-05,
L3 miss ratio,0.0377,
