STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407986205 GHz,
TABLE,Region montaSl,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],0.003522,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,29085130
CPU_CLK_UNHALTED_CORE,FIXC1,13241680
CPU_CLK_UNHALTED_REF,FIXC2,11928710
MEM_LOAD_RETIRED_L3_HIT,PMC0,170
MEM_LOAD_RETIRED_L3_MISS,PMC1,50
UOPS_RETIRED_ALL,PMC2,34967500
TABLE,Region montaSl,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0035,
Runtime unhalted [s],0.0039,
Clock [MHz],3783.0966,
CPI,0.4553,
L3 request rate,6.291556e-06,
L3 miss rate,1.429899e-06,
L3 miss ratio,0.2273,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407986205 GHz,
TABLE,Region resolveSistema,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],0.000002,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,9789
CPU_CLK_UNHALTED_CORE,FIXC1,16818
CPU_CLK_UNHALTED_REF,FIXC2,15194
MEM_LOAD_RETIRED_L3_HIT,PMC0,58
MEM_LOAD_RETIRED_L3_MISS,PMC1,2
UOPS_RETIRED_ALL,PMC2,12550
TABLE,Region resolveSistema,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],1.666675e-06,
Runtime unhalted [s],4.934879e-06,
Clock [MHz],3772.2464,
CPI,1.7181,
L3 request rate,0.0048,
L3 miss rate,0.0002,
L3 miss ratio,0.0333,
