STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407975264 GHz,
TABLE,Region montaSl,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],0.000421,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,3330328
CPU_CLK_UNHALTED_CORE,FIXC1,1537006
CPU_CLK_UNHALTED_REF,FIXC2,1418722
MEM_LOAD_RETIRED_L3_HIT,PMC0,103
MEM_LOAD_RETIRED_L3_MISS,PMC1,41
UOPS_RETIRED_ALL,PMC2,4006183
TABLE,Region montaSl,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0005,
Clock [MHz],3692.1105,
CPI,0.4615,
L3 request rate,3.594444e-05,
L3 miss rate,1.023418e-05,
L3 miss ratio,0.2847,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407975264 GHz,
TABLE,Region resolveSistema,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],0.000002,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,9789
CPU_CLK_UNHALTED_CORE,FIXC1,16094
CPU_CLK_UNHALTED_REF,FIXC2,15194
MEM_LOAD_RETIRED_L3_HIT,PMC0,58
MEM_LOAD_RETIRED_L3_MISS,PMC1,2
UOPS_RETIRED_ALL,PMC2,12543
TABLE,Region resolveSistema,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],1.609757e-06,
Runtime unhalted [s],4.722452e-06,
Clock [MHz],3609.8430,
CPI,1.6441,
L3 request rate,0.0048,
L3 miss rate,0.0002,
L3 miss ratio,0.0333,
