STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407962585 GHz,
TABLE,Region montaSl,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],8.653115,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,73932090000
CPU_CLK_UNHALTED_CORE,FIXC1,32491030000
CPU_CLK_UNHALTED_REF,FIXC2,29271000000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,29074890000
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region montaSl,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],8.6531,
Runtime unhalted [s],9.5339,
Clock [MHz],3782.8641,
CPI,0.4395,
DP MFLOP/s,3360.0490,
AVX DP MFLOP/s,0,
Packed MUOPS/s,0,
Scalar MUOPS/s,3360.0490,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407962585 GHz,
TABLE,Region resolveSistema,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.109355,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,528991900
CPU_CLK_UNHALTED_CORE,FIXC1,409741000
CPU_CLK_UNHALTED_REF,FIXC2,368515600
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,500500
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,3003518
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,166541500
TABLE,Region resolveSistema,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.1094,
Runtime unhalted [s],0.1202,
Clock [MHz],3789.2073,
CPI,0.7746,
DP MFLOP/s,6128.3883,
AVX DP MFLOP/s,6091.7689,
Packed MUOPS/s,1527.5191,
Scalar MUOPS/s,27.4657,
Vectorization ratio,98.2337,
