STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40796269 GHz,
TABLE,Region montaSl,Group 1 Raw,ENERGY,8
Region Info,Core 3,
RDTSC Runtime [s],1690.255000,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,14437590000000
CPU_CLK_UNHALTED_CORE,FIXC1,6364462000000
CPU_CLK_UNHALTED_REF,FIXC2,5722605000000
TEMP_CORE,TMP0,214
PWR_PKG_ENERGY,PWR0,18705.2600
PWR_PP0_ENERGY,PWR1,18332.1000
PWR_PP1_ENERGY,PWR2,7.7878
PWR_DRAM_ENERGY,PWR3,841.3011
TABLE,Region montaSl,Group 1 Metric,ENERGY,13
Metric,Core 3,
Runtime (RDTSC) [s],1690.2550,
Runtime unhalted [s],1867.5269,
Clock [MHz],3790.2055,
CPI,0.4408,
Temperature [C],214,
Energy [J],18705.2600,
Power [W],11.0665,
Energy PP0 [J],18332.1000,
Power PP0 [W],10.8458,
Energy PP1 [J],7.7878,
Power PP1 [W],0.0046,
Energy DRAM [J],841.3011,
Power DRAM [W],0.4977,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40796269 GHz,
TABLE,Region resolveSistema,Group 1 Raw,ENERGY,8
Region Info,Core 3,
RDTSC Runtime [s],0.103497,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,528990100
CPU_CLK_UNHALTED_CORE,FIXC1,388643300
CPU_CLK_UNHALTED_REF,FIXC2,349453900
TEMP_CORE,TMP0,215
PWR_PKG_ENERGY,PWR0,1.5912
PWR_PP0_ENERGY,PWR1,1.5341
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,0.1441
TABLE,Region resolveSistema,Group 1 Metric,ENERGY,13
Metric,Core 3,
Runtime (RDTSC) [s],0.1035,
Runtime unhalted [s],0.1140,
Clock [MHz],3790.1476,
CPI,0.7347,
Temperature [C],215,
Energy [J],1.5912,
Power [W],15.3748,
Energy PP0 [J],1.5341,
Power PP0 [W],14.8228,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],0.1441,
Power DRAM [W],1.3923,
