STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407983034 GHz,
TABLE,Region montaSl,Group 1 Raw,ENERGY,8
Region Info,Core 3,
RDTSC Runtime [s],0.522649,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,4316627000
CPU_CLK_UNHALTED_CORE,FIXC1,1962845000
CPU_CLK_UNHALTED_REF,FIXC2,1764896000
TEMP_CORE,TMP0,205
PWR_PKG_ENERGY,PWR0,4.8128
PWR_PP0_ENERGY,PWR1,4.6998
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,0.2613
TABLE,Region montaSl,Group 1 Metric,ENERGY,13
Metric,Core 3,
Runtime (RDTSC) [s],0.5226,
Runtime unhalted [s],0.5760,
Clock [MHz],3790.2191,
CPI,0.4547,
Temperature [C],205,
Energy [J],4.8128,
Power [W],9.2085,
Energy PP0 [J],4.6998,
Power PP0 [W],8.9923,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],0.2613,
Power DRAM [W],0.4999,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407983034 GHz,
TABLE,Region resolveSistema,Group 1 Raw,ENERGY,8
Region Info,Core 3,
RDTSC Runtime [s],0.144400,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,1241149000
CPU_CLK_UNHALTED_CORE,FIXC1,542601400
CPU_CLK_UNHALTED_REF,FIXC2,487948900
TEMP_CORE,TMP0,206
PWR_PKG_ENERGY,PWR0,1.7565
PWR_PP0_ENERGY,PWR1,1.6990
PWR_PP1_ENERGY,PWR2,0.0016
PWR_DRAM_ENERGY,PWR3,0.1700
TABLE,Region resolveSistema,Group 1 Metric,ENERGY,13
Metric,Core 3,
Runtime (RDTSC) [s],0.1444,
Runtime unhalted [s],0.1592,
Clock [MHz],3789.6927,
CPI,0.4372,
Temperature [C],206,
Energy [J],1.7565,
Power [W],12.1644,
Energy PP0 [J],1.6990,
Power PP0 [W],11.7662,
Energy PP1 [J],0.0016,
Power PP1 [W],0.0114,
Energy DRAM [J],0.1700,
Power DRAM [W],1.1772,
