STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407992804 GHz,
TABLE,Region montaSl,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],0.013287,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,106105600
CPU_CLK_UNHALTED_CORE,FIXC1,48797100
CPU_CLK_UNHALTED_REF,FIXC2,45051350
MEM_LOAD_RETIRED_L3_HIT,PMC0,220
MEM_LOAD_RETIRED_L3_MISS,PMC1,51
UOPS_RETIRED_ALL,PMC2,127237200
TABLE,Region montaSl,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0133,
Runtime unhalted [s],0.0143,
Clock [MHz],3691.3470,
CPI,0.4599,
L3 request rate,2.129880e-06,
L3 miss rate,4.008262e-07,
L3 miss ratio,0.1882,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407992804 GHz,
TABLE,Region resolveSistema,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,8952
CPU_CLK_UNHALTED_CORE,FIXC1,14435
CPU_CLK_UNHALTED_REF,FIXC2,13632
MEM_LOAD_RETIRED_L3_HIT,PMC0,73
MEM_LOAD_RETIRED_L3_MISS,PMC1,4
UOPS_RETIRED_ALL,PMC2,11408
TABLE,Region resolveSistema,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],1.291667e-06,
Runtime unhalted [s],4.235631e-06,
Clock [MHz],3608.7424,
CPI,1.6125,
L3 request rate,0.0067,
L3 miss rate,0.0004,
L3 miss ratio,0.0519,
